source,target
90133,68811
57917,54013
96028,71232
33199,88641
70974,44295
69175,39966
78169,72663
91666,49262
76782,89383
97895,99089
76066,55233
99859,89117
39166,37723
79815,81314
10134,61009
76240,15069
78724,85960
87089,80314
86925,62046
46102,70532
52041,34991
20718,84549
84198,42482
36890,96154
46750,74996
50726,99795
28810,56483
92227,83664
81560,27464
38294,58091
44579,90429
84240,57205
49082,43721
77912,66034
69662,97735
84293,28891
65163,82371
71741,62772
55921,99616
71434,94208
33427,88653
59569,95253
81799,95037
77784,71227
28660,60020
72534,57969
57710,82506
59165,42326
77595,40906
41010,46165
40658,88854
14015,62488
82857,55325
57999,81563
58294,33257
35480,84447
76287,58387
93023,44866
83134,52076
98214,83616
74259,91041
78385,16558
42520,83035
52690,35448
57262,41373
50473,74837
53873,59628
73012,88365
69995,54246
78916,41014
66272,78322
87154,39567
51812,37926
14200,82817
96961,75079
95401,75964
82564,76603
98762,75048
86895,79464
50660,62182
79476,96348
91412,16084
86640,67919
96416,71171
91867,74847
46494,62543
87304,61060
94346,66689
61324,68983
68232,36974
76107,56356
82010,49813
75437,98894
79001,79853
58205,36752
71101,93432
51264,69776
44661,43938
90854,92553
80199,34756
64303,78596
99954,34337
14360,84732
76857,91450
47077,60212
61143,70490
41631,83082
99874,26141
82233,89352
59990,54962
51743,71580
89813,92850
79751,74473
68945,53850
41982,46278
89115,50700
75937,50941
21858,99242
77000,76126
60112,72692
67906,42436
94563,90419
92902,74744
63982,31095
61677,45954
82776,80043
37637,83838
44866,59506
38678,16281
59835,50811
54693,50321
97105,54186
96844,64772
78947,89935
13054,65365
92963,10314
39666,63619
85156,17689
70516,35388
48437,90831
32352,79059
49674,96831
53838,4625
89568,40882
55574,71875
28100,90484
47495,84081
91441,87148
81600,98552
69318,99575
10445,48298
77348,95436
56800,47975
77178,37286
80874,70305
92644,89009
90803,66222
62003,71941
88446,83981
74474,97654
87648,50184
73986,72573
98944,73096
81506,91619
63764,86214
92833,80542
94638,26416
88668,68238
89193,61581
94890,78427
85743,45959
71276,82381
67192,83012
74506,49098
92330,85790
87145,31431
80939,62940
59996,98580
20604,45141
78750,81945
80603,90987
53235,29080
42638,37796
97562,43346
15785,71345
91550,61348
33854,98060
74101,71677
62342,63063
61305,72259
90863,90029
99013,92703
89052,37799
88743,95619
5432,75947
31831,45708
62563,45453
63195,21271
78738,95893
25792,93321
62249,44000
37388,96562
37759,74617
69563,53087
59646,80038
71333,73486
84770,43041
66996,44413
89809,89055
98229,92139
92026,83742
60376,77441
40941,74634
98906,30698
55253,87099
72270,71576
53611,59324
84273,60390
84077,31286
80048,92827
72139,35715
93659,99437
77609,19930
68458,99420
77955,27974
99676,35973
27709,71953
66517,48956
91271,53693
67963,11601
63430,49704
82470,50866
95693,99379
22152,42377
49425,81473
76328,93307
7468,65309
52042,75237
69621,28096
93700,45641
61763,22160
85280,39031
67368,75850
86891,63748
16353,83174
61328,10883
94904,96908
94149,33764
61938,95166
79782,86213
99734,55555
24271,50224
63367,39025
49058,24394
35976,35232
75397,81077
86559,73950
98268,73557
54604,60557
71715,79438
77857,81063
28380,82245
27929,16160
53968,7204
76167,82785
75296,54094
88999,29138
47741,93311
30073,26117
25922,53772
40867,28714
39503,56513
96454,99865
46211,42088
84004,80699
89129,76213
87174,72950
16084,24446
79575,72561
94367,69131
89948,78988
36976,79399
87091,58327
43097,11915
45297,62637
54101,37654
88755,76817
41897,90548
81167,82401
19870,77637
59757,95423
91730,47181
19910,64687
63503,84753
47695,94036
42277,73508
80047,93468
96718,77245
88400,97394
60378,76762
71485,63770
45925,70011
84417,41327
68134,74103
95690,64552
74511,57239
48908,95435
27738,74374
45952,26241
95755,59981
52752,21955
31349,27973
77242,68796
91515,75412
91991,71761
55952,81848
79147,92828
58155,71105
83817,66806
69117,65838
42347,12463
21313,44758
72959,55145
65473,97166
97525,92021
40363,56702
35007,91829
77550,70957
92481,95311
64067,95761
45254,3829
74009,28051
83814,99207
66111,86475
62841,46858
72744,86572
44533,59034
67000,64032
85504,40129
77368,45870
64485,35521
81506,72413
67257,27338
56912,55486
92257,61198
68070,50641
58072,79302
11153,29570
81711,86845
32283,97338
87508,90443
85471,88567
33699,43092
70819,98342
79600,92393
81356,71580
76706,62279
7425,32816
36714,66268
70719,95549
76540,76052
81659,70493
95717,39516
92277,39596
69392,49571
40739,32288
84752,93836
59877,47828
67438,73174
31838,41608
62707,50232
88856,66918
60339,97941
41078,51249
63831,77054
60450,32621
36162,85182
73799,63706
59618,85029
47293,68765
