source,target
76552,52439
70878,46819
49582,65384
64322,54446
57193,40406
44697,82864
69876,73446
81121,73304
70408,3170
35758,66977
13586,89420
36568,80723
20474,89327
85752,97603
53763,78812
33994,64772
51247,80919
85528,85362
92963,47231
51238,64713
45339,51953
63259,67270
90186,28154
85671,24112
94996,83182
43699,48513
99362,61985
52645,71329
18184,96469
68956,63105
88177,99239
28459,79470
50148,85777
83807,26591
97599,84139
85972,59606
56606,82886
64181,16859
74726,53016
53371,62867
88973,97524
30071,80510
52174,48997
86126,96505
56124,65211
46306,84526
93944,86486
38923,62202
79071,33795
82297,79940
77854,52763
97147,55238
74011,67918
96275,67396
86706,31133
63802,98500
83445,97643
42158,80844
98572,57345
87424,97066
80216,77553
38164,82197
87048,98408
57966,21073
28755,79992
88859,75101
33129,75753
89922,55407
87432,92694
52153,94844
74076,42211
10152,99902
95172,85010
81436,80917
12015,95352
82748,94406
13744,72414
66135,92773
63890,71177
95298,80349
38131,81476
39646,41753
99174,43836
88716,73649
72021,68542
53157,23203
89079,55937
88646,63860
72497,98846
65502,41743
67191,75656
34494,40961
88869,99206
52798,67175
97453,19280
69680,52511
82985,98222
77057,98713
96467,95747
64542,39704
23289,76522
56594,89470
36071,48121
97506,81842
99706,90140
86842,74078
69873,96597
77974,96125
97124,86299
33208,89772
49201,54612
67039,99130
60407,93044
54451,32334
66020,93702
98951,51210
63427,86414
97045,42097
39780,82296
89441,50737
84195,80543
78864,79799
32114,83384
68413,53205
64243,88353
84159,68395
81836,82908
76850,90825
60580,18162
38263,72568
86108,89259
22669,92655
95938,55260
98151,72702
59441,95441
83409,7893
81536,35832
53834,11499
42148,77776
29056,25153
48117,86829
89883,74339
45816,57148
35865,58704
64606,62496
28045,86638
91361,66371
72458,45416
41041,65517
55288,75715
82193,88422
90771,96527
99426,35002
92671,82094
98212,41749
24726,85888
99594,87964
58746,54811
34904,40150
83347,8620
89898,73064
33702,86543
90856,81680
70730,31437
26783,93940
45173,77718
87329,94687
84727,38121
90944,97579
79276,44254
84373,76742
47402,40817
55574,63415
82225,67001
49838,75505
32921,35541
95269,57725
27847,61922
57240,19742
73423,50812
63176,40232
93760,91185
76666,81232
11302,21850
99580,60270
91101,52156
41821,75692
80848,93245
63681,32503
36838,72610
59314,94932
93450,84645
76916,38229
69823,90615
35040,96618
92088,91678
89653,45505
78758,81581
77440,58088
71710,93143
36742,83956
75757,96733
91141,63571
64263,89852
78922,81282
90181,86807
32598,69556
48120,89171
25593,59092
76848,98372
76293,89063
88131,90747
40948,96923
22059,92046
98767,85474
87462,58567
85611,42015
48011,90168
78213,66449
74708,91725
72607,45412
77765,99594
32329,68969
70409,12628
71683,54124
32345,89329
58000,75405
96688,84952
60465,85130
61705,46526
92057,77691
51372,78407
32271,38052
51296,50982
79836,58567
89655,97222
83683,42502
82676,87865
77116,32130
87896,40091
32407,64939
78862,98348
54993,89007
46785,57004
24524,57473
76891,87381
88686,64210
84403,80527
78286,85728
79189,68896
87813,80365
91178,48801
62284,84006
84992,98462
90101,90209
34017,71589
57731,95332
86236,77912
99178,73071
90872,45667
73311,60624
48929,42498
92266,26373
16019,66089
72974,89967
67743,95276
48440,59035
76247,62313
91692,85801
26771,60639
75177,60162
47976,65752
53424,73719
99836,52908
98979,67597
94043,93211
69114,54592
65864,43399
73908,17164
44276,96171
72500,52810
63539,45114
80930,78357
70114,95125
81584,85537
52654,88068
72448,82911
47646,98339
96552,89672
50632,61685
29713,51829
84168,33781
36265,66935
13216,52015
44762,81398
48091,81557
99498,7261
90315,39453
19280,70174
97712,86815
39586,35028
51877,72221
88995,59988
42076,56563
96315,73372
48409,96566
86329,68540
36255,94693
89983,87976
24095,59049
89954,50289
62813,94807
23546,94419
47345,75563
84069,39355
37585,89307
71156,98409
78269,72616
73408,65984
98130,83432
94997,77846
78883,82816
81864,87958
80380,74907
80745,52433
40530,57886
94886,34273
69743,69258
88956,38817
25183,70017
43660,96079
49316,98846
91262,61555
83290,98317
28286,51960
26968,92900
59939,47116
73537,75812
84598,29996
76332,76128
74546,93074
75124,76835
75800,84966
97108,71635
52946,95634
70015,68463
31909,91558
93044,82890
85080,63167
41980,79054
34959,66221
61864,94969
63853,71612
53244,12770
72464,40363
64067,81854
50617,64594
99457,58974
80843,60679
70012,76807
37238,34389
98704,33145
96477,14643
63757,51244
47959,91977
58407,27148
37200,68474
89305,21226
88039,75653
95646,96699
95949,23486
83084,47769
85895,61248
46155,73880
69437,10144
90268,58902
12615,89089
80700,18892
51347,56726
43079,90647
94966,44310
77359,77457
8738,78189
68642,81410
53856,24256
59408,71548
98057,97931
36799,63005
63188,51189
22444,83032
14436,65518
92452,30708
28090,86887
50667,48642
39658,66294
92651,76369
65972,27993
31110,46159
86873,48465
69109,19415
12293,37728
49976,33321
91328,32301
50805,58397
30498,71801
87075,73345
72007,59702
37794,94198
34542,41970
26595,78052
93930,81288
68820,66381
84471,30048
37541,45514
46262,36944
66727,26334
89106,65717
43336,86998
72691,90751
57603,82685
35551,79004
36861,38164
82750,36182
98376,43510
34428,62642
83187,56146
20019,57648
89904,95222
67332,75977
99259,73448
96562,33130
79953,42602
65775,94648
96157,48331
93433,34177
76296,19030
99488,79259
55812,78006
72653,29827
67175,89117
93150,88880
4630,92598
95450,18483
54462,97566
61357,74298
44058,85717
14663,76658
72134,81289
74427,86615
30529,25268
60934,40799
94495,83909
86715,51640
75137,70061
87062,89738
86024,86425
77776,42869
89744,33982
59939,70003
57977,89950
83111,84518
94467,85123
56194,40703
71525,98202
43116,94749
64284,15844
92831,96631
90977,64862
69722,98446
74695,55249
77345,90073
34670,59970
77389,81765
89641,69749
88466,65020
97364,96481
51976,91361
12075,55644
90344,74252
71147,74631
31642,54443
88416,86527
55924,72818
74036,93162
69968,89245
81895,50424
75007,51313
50689,74791
31884,80588
78967,53599
80535,15659
88157,66096
44930,32653
72001,63450
98724,18933
45365,50112
10683,16342
96141,19027
94930,68175
85877,61875
