relationship_prop,relationship_type,source,target
prop_c,REL_A,c,d
prop_b,REL_B,c,c
prop_c,REL_A,a,b
prop_b,REL_B,c,c
prop_a,REL_C,b,c
prop_e,REL_B,b,b
prop_c,REL_C,b,b
prop_a,REL_A,c,b
prop_e,REL_C,c,c
prop_d,REL_A,a,d
prop_a,REL_A,b,b
prop_d,REL_C,a,d
prop_e,REL_C,c,c
prop_a,REL_A,c,c
prop_e,REL_B,a,c
prop_d,REL_A,a,b
prop_e,REL_A,b,d
prop_b,REL_C,b,d
prop_c,REL_C,c,b
prop_c,REL_A,c,b
prop_c,REL_C,b,b
prop_e,REL_A,c,d
prop_a,REL_C,c,d
prop_d,REL_A,a,d
prop_e,REL_B,b,c
prop_e,REL_C,c,c
prop_d,REL_B,a,c
prop_a,REL_A,b,b
prop_b,REL_A,a,b
prop_e,REL_A,a,b
prop_e,REL_C,b,b
prop_e,REL_B,a,c
prop_c,REL_A,a,d
prop_d,REL_A,a,b
prop_e,REL_A,b,c
prop_b,REL_A,a,b
prop_b,REL_A,a,b
prop_e,REL_A,c,d
prop_e,REL_A,c,d
prop_e,REL_C,c,d
prop_d,REL_A,b,c
prop_a,REL_C,a,b
prop_c,REL_C,a,c
prop_c,REL_C,a,b
prop_b,REL_B,a,b
prop_b,REL_B,c,c
prop_a,REL_C,b,b
prop_e,REL_C,b,c
prop_c,REL_B,c,d
prop_e,REL_A,b,c
prop_d,REL_A,c,d
prop_e,REL_A,a,c
prop_d,REL_A,c,d
prop_b,REL_B,a,b
prop_a,REL_A,b,c
prop_a,REL_B,c,b
prop_c,REL_A,c,b
prop_e,REL_A,c,d
prop_a,REL_C,b,c
prop_c,REL_B,b,b
prop_e,REL_C,c,b
prop_c,REL_A,b,b
prop_b,REL_C,c,c
prop_a,REL_C,b,b
prop_b,REL_B,c,b
prop_e,REL_C,a,c
prop_c,REL_A,c,c
prop_e,REL_A,c,d
prop_c,REL_A,c,b
prop_d,REL_A,a,d
prop_d,REL_A,a,d
prop_d,REL_A,c,c
prop_d,REL_C,b,b
prop_d,REL_A,b,b
prop_c,REL_C,c,d
prop_c,REL_A,b,b
prop_e,REL_B,a,c
prop_b,REL_C,a,b
prop_c,REL_C,b,c
prop_e,REL_B,b,d
prop_b,REL_B,a,d
prop_b,REL_C,b,d
prop_a,REL_A,b,d
prop_d,REL_C,c,d
prop_b,REL_A,a,c
prop_e,REL_C,a,b
