source,target,partition_col
0-4747,0-5049,0
0-3730,0-4396,0
0-4837,0-2934,0
0-4982,0-5024,0
0-1355,0-4064,0
0-4295,0-5263,0
0-2847,0-2035,0
0-1923,0-5109,0
0-3737,0-3705,0
0-4055,0-4207,0
0-4366,0-4898,0
0-5660,0-4390,0
0-4124,0-2972,0
0-5623,0-5278,0
0-4791,0-3316,0
0-2012,0-2096,0
0-2150,0-3239,0
0-3026,0-2934,0
0-4496,0-3072,0
0-5212,0-4907,0
0-2186,0-2482,0
0-4793,0-5119,0
0-2550,0-3189,0
0-3067,0-5601,0
0-5493,0-3490,0
0-3145,0-5578,0
0-4764,0-4563,0
0-685,0-5374,0
0-3286,0-1505,0
0-4338,0-4245,0
0-2877,0-3298,0
0-728,0-4465,0
0-3487,0-2496,0
0-2310,0-5405,0
0-1626,0-5619,0
0-4276,0-5011,0
0-2733,0-2698,0
0-5384,0-2638,0
0-2188,0-3837,0
0-4054,0-1427,0
0-3384,0-5114,0
0-3862,0-1302,0
0-4939,0-2223,0
0-5515,0-3372,0
0-5656,0-2450,0
0-1447,0-4230,0
0-1587,0-594,0
0-4092,0-3601,0
0-629,0-2743,0
0-3799,0-5120,0
0-4093,0-5472,0
0-878,0-2029,0
0-1977,0-2955,0
0-5667,0-4997,0
0-2742,0-3576,0
0-5441,0-5268,0
0-1101,0-2687,0
0-4094,0-3895,0
0-4232,0-997,0
0-4458,0-5589,0
0-519,0-4401,0
0-1404,0-3368,0
0-5260,0-1880,0
0-4078,0-3768,0
0-3854,0-4052,0
0-4733,0-4554,0
0-5341,0-3227,0
0-3065,0-4685,0
0-475,0-1401,0
0-3824,0-2440,0
0-4310,0-5069,0
0-3870,0-2995,0
0-3283,0-2947,0
0-1179,0-1795,0
0-4044,0-5132,0
0-2879,0-5574,0
0-2754,0-5578,0
0-2466,0-4581,0
0-3714,0-5275,0
0-5338,0-1865,0
0-5323,0-2155,0
0-3969,0-4404,0
0-5417,0-4858,0
0-2018,0-4115,0
0-2549,0-2937,0
0-4952,0-1257,0
0-3822,0-3927,0
0-4678,0-4504,0
0-1528,0-5478,0
0-527,0-3383,0
0-2709,0-5537,0
0-4817,0-2799,0
0-4986,0-1465,0
0-5127,0-3626,0
0-728,0-5198,0
0-2724,0-5217,0
0-4888,0-5339,0
0-3690,0-4021,0
0-2497,0-3070,0
0-4886,0-4010,0
0-3369,0-4936,0
0-5203,0-4443,0
0-4339,0-4790,0
0-3609,0-4852,0
0-4556,0-4026,0
0-2183,0-4452,0
0-5521,0-5039,0
0-3617,0-5551,0
0-5522,0-4270,0
0-1631,0-4454,0
0-4670,0-3065,0
0-4723,0-4206,0
0-4899,0-1652,0
0-4905,0-5505,0
0-5486,0-3931,0
0-5313,0-2336,0
0-4988,0-4098,0
0-5395,0-4837,0
0-4501,0-4352,0
0-4512,0-4807,0
0-3937,0-1123,0
0-1851,0-3161,0
0-4422,0-1719,0
0-3191,0-3509,0
0-2953,0-1197,0
0-5533,0-5061,0
0-4969,0-3407,0
0-2397,0-3423,0
0-5378,0-1758,0
0-2754,0-4377,0
0-5432,0-5210,0
0-4383,0-4264,0
0-2753,0-3726,0
0-1013,0-3696,0
0-5217,0-3598,0
0-5521,0-2495,0
0-3084,0-2868,0
0-4552,0-4208,0
0-4658,0-4570,0
0-5663,0-4719,0
0-1811,0-3377,0
0-3145,0-5305,0
0-5268,0-3312,0
0-5642,0-4315,0
0-4039,0-1133,0
0-3549,0-2252,0
0-1838,0-5656,0
0-2027,0-1126,0
0-3735,0-4221,0
